frame,detections,avg_conf,min_conf,max_conf
1,1,0.5029296875,0.5029296875,0.5029296875
2,1,0.26904296875,0.26904296875,0.26904296875
3,1,0.286865234375,0.286865234375,0.286865234375
4,2,0.3238525390625,0.322509765625,0.3251953125
5,2,0.3873291015625,0.35498046875,0.419677734375
6,3,0.3964029947916667,0.326904296875,0.455078125
7,3,0.3375651041666667,0.3173828125,0.3701171875
8,3,0.2953287760416667,0.273681640625,0.309814453125
9,3,0.3223470052083333,0.251708984375,0.3603515625
10,2,0.288330078125,0.26513671875,0.3115234375
11,2,0.2841796875,0.282958984375,0.285400390625
12,2,0.3511962890625,0.32763671875,0.374755859375
13,2,0.46142578125,0.4580078125,0.46484375
14,2,0.4061279296875,0.332763671875,0.4794921875
15,2,0.4345703125,0.414794921875,0.454345703125
16,2,0.44873046875,0.41015625,0.4873046875
17,2,0.39111328125,0.341552734375,0.440673828125
18,2,0.36572265625,0.286865234375,0.444580078125
19,2,0.4014892578125,0.337158203125,0.4658203125
20,2,0.4486083984375,0.419677734375,0.4775390625
21,2,0.4566650390625,0.449462890625,0.4638671875
22,2,0.441650390625,0.437744140625,0.445556640625
23,2,0.3875732421875,0.345947265625,0.42919921875
24,2,0.43115234375,0.420654296875,0.441650390625
25,2,0.3526611328125,0.351318359375,0.35400390625
26,2,0.386962890625,0.36376953125,0.41015625
27,2,0.3992919921875,0.35302734375,0.445556640625
28,2,0.39111328125,0.375732421875,0.406494140625
29,2,0.3841552734375,0.369384765625,0.39892578125
30,2,0.383056640625,0.375732421875,0.390380859375
31,2,0.3297119140625,0.29736328125,0.362060546875
32,1,0.37744140625,0.37744140625,0.37744140625
33,1,0.43115234375,0.43115234375,0.43115234375
34,1,0.359375,0.359375,0.359375
35,1,0.2783203125,0.2783203125,0.2783203125
36,1,0.3251953125,0.3251953125,0.3251953125
37,1,0.304931640625,0.304931640625,0.304931640625
38,3,0.4431966145833333,0.346923828125,0.56103515625
39,2,0.2818603515625,0.254638671875,0.30908203125
40,2,0.3070068359375,0.277587890625,0.33642578125
41,1,0.29833984375,0.29833984375,0.29833984375
42,2,0.2989501953125,0.265869140625,0.33203125
43,1,0.30908203125,0.30908203125,0.30908203125
44,1,0.50390625,0.50390625,0.50390625
45,3,0.3526204427083333,0.281494140625,0.42333984375
46,4,0.39434814453125,0.2998046875,0.56591796875
47,1,0.419677734375,0.419677734375,0.419677734375
48,1,0.369384765625,0.369384765625,0.369384765625
49,1,0.310791015625,0.310791015625,0.310791015625
50,1,0.3486328125,0.3486328125,0.3486328125
51,1,0.287841796875,0.287841796875,0.287841796875
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,1,0.26123046875,0.26123046875,0.26123046875
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,1,0.27197265625,0.27197265625,0.27197265625
70,1,0.272705078125,0.272705078125,0.272705078125
71,1,0.264404296875,0.264404296875,0.264404296875
72,1,0.2744140625,0.2744140625,0.2744140625
73,1,0.32421875,0.32421875,0.32421875
74,1,0.2666015625,0.2666015625,0.2666015625
75,1,0.332763671875,0.332763671875,0.332763671875
76,4,0.37109375,0.257568359375,0.5400390625
77,4,0.41705322265625,0.2705078125,0.75048828125
78,1,0.91162109375,0.91162109375,0.91162109375
79,1,0.76611328125,0.76611328125,0.76611328125
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0,0,0
87,0,0,0,0
88,1,0.260498046875,0.260498046875,0.260498046875
89,0,0,0,0
90,1,0.5078125,0.5078125,0.5078125
91,2,0.3726806640625,0.265869140625,0.4794921875
92,2,0.400146484375,0.28857421875,0.51171875
93,2,0.4505615234375,0.374755859375,0.5263671875
94,2,0.4620361328125,0.437744140625,0.486328125
95,2,0.52392578125,0.5068359375,0.541015625
96,2,0.524169921875,0.484375,0.56396484375
97,2,0.3984375,0.25390625,0.54296875
98,2,0.373779296875,0.26220703125,0.4853515625
99,2,0.5145263671875,0.415771484375,0.61328125
100,2,0.48583984375,0.3896484375,0.58203125
101,2,0.488525390625,0.37109375,0.60595703125
102,2,0.490234375,0.3857421875,0.5947265625
103,2,0.556396484375,0.5517578125,0.56103515625
104,2,0.55859375,0.525390625,0.591796875
105,3,0.4828287760416667,0.383056640625,0.6083984375
106,2,0.50390625,0.4912109375,0.5166015625
107,2,0.547119140625,0.4765625,0.61767578125
108,4,0.41156005859375,0.285400390625,0.5908203125
109,3,0.4471028645833333,0.259765625,0.56201171875
110,2,0.507080078125,0.42626953125,0.587890625
111,2,0.5478515625,0.466796875,0.62890625
112,2,0.486572265625,0.34423828125,0.62890625
113,2,0.483642578125,0.26220703125,0.705078125
114,1,0.6875,0.6875,0.6875
115,1,0.56982421875,0.56982421875,0.56982421875
116,2,0.4354248046875,0.299072265625,0.57177734375
117,2,0.4346923828125,0.281494140625,0.587890625
118,2,0.4154052734375,0.265869140625,0.56494140625
119,1,0.57275390625,0.57275390625,0.57275390625
120,1,0.60205078125,0.60205078125,0.60205078125
121,2,0.45263671875,0.33544921875,0.56982421875
122,2,0.46142578125,0.388671875,0.5341796875
123,2,0.4400634765625,0.405517578125,0.474609375
124,2,0.322509765625,0.25537109375,0.3896484375
125,2,0.297607421875,0.282958984375,0.312255859375
126,2,0.3521728515625,0.2666015625,0.437744140625
127,1,0.4765625,0.4765625,0.4765625
128,1,0.4111328125,0.4111328125,0.4111328125
